id|cet|struct
268|莊俱|51o4g1
269|芳無|12o4g1
270|子于|41o4g1
271|甫無|11o4g1
272|憶俱|81o4g1
273|式朱|64o4g1
274|昌朱|62o4g1
275|直誅|33o4g1
276|舉朱|71o4g1
277|山芻|54o4g1
278|莫胡|14c1g1
279|薄胡|13c1g1
280|戸吳|83c1g1
281|古胡|71c1g1
282|同都|23c1g1
283|乃都|24c1g1
284|荒烏|82c1g1
285|五乎|74c1g1
286|則吾|41c1g1
287|落胡|25c1g1
288|素姑|44c1g1
289|昨胡|43c1g1
290|哀都|81c1g1
291|博孤|11c1g1
292|苦胡|72c1g1
293|倉胡|42c1g1
294|他胡|22c1g1
295|當孤|21c1g1
296|普胡|12c1g1
297|徂奚|43c7i1
298|郎奚|25c7i1
299|七稽|42c7i1
300|都奚|21c7i1
301|杜奚|23c7i1
302|邊兮|11c7i1
303|古奚|71c7i1
304|胡雞|83c7i1
305|烏奚|81c7i1
306|五稽|74c7i1
307|呼雞|82c7i1
308|先稽|44c7i1
309|土雞|22c7i1
310|部迷|13c7i1
311|匹迷|12c7i1
312|祖稽|41c7i1
313|莫兮|14c7i1
314|奴低|24c7i1
315|苦奚|72c7i1
316|古攜|71o7i1
317|苦圭|72o7i1
318|戸圭|83o7i1
319|人兮|66c4i1
320|成臡|63c4i1
321|烏攜|81o7i1
322|呼攜|82o7i1
323|古膎|71c2j1
324|戸佳|83c2j1
325|薄佳|13c2j1
326|古娃|71o2j1
327|烏媧|81o2j1
328|苦緺|72o2j1
329|士佳|53c2j1
330|楚佳|52c2j1
331|火媧|82o2j1
332|妳佳|34c2j1
333|五佳|74c2j1
334|於佳|81c2j1
335|山佳|54c2j1
336|火佳|82c2j1
337|丑佳|32c2j1
338|莫佳|14c2j1
339|戸媧|83o2j1
340|古諧|71c2i1
341|乙諧|81c2i1
342|戸皆|83c2i1
343|步皆|13c2i1
344|古懷|71o2i1
345|戸乖|83o2i1
346|苦淮|72o2i1
347|士皆|53c2i1
348|楚皆|52c2i1
349|呼懷|82o2i1
350|柱懷|33o2i1
351|莫皆|14c2i1
352|側皆|51c2i1
353|乙皆|81o2i1
354|卓皆|31c2i1
355|賴諧|25c2i1
356|口皆|72c2i1
357|諾皆|34c2i1
358|山皆|54c2i1
359|擬皆|74c2i1
360|丑皆|32c2i1
361|喜皆|82c2i1
362|力懷|25o2i1
363|仕懷|53o2i1
364|呼恢|82o1i1
365|苦回|72o1i1
366|烏恢|81o1i1
367|戸恢|83o1i1
368|莫杯|14o1i1
369|公回|71o1i1
370|魯回|25o1i1
371|杜回|23o1i1
372|倉回|42o1i1
373|都回|21o1i1
374|素回|44o1i1
375|昨回|43o1i1
376|薄回|13o1i1
377|布回|11o1i1
378|芳杯|12o1i1
379|五灰|74o1i1
380|他回|22o1i1
381|乃回|24o1i1
382|臧回|41o1i1
383|呼來|82c1i1
384|苦哀|72c1i1
385|烏開|81c1i1
386|徒哀|23c1i1
387|古哀|71c1i1
388|昨哉|43c1i1
389|洛哀|25c1i1
390|祖才|41c1i1
391|倉才|42c1i1
392|扶來|13c1i1
393|土來|22c1i1
394|戸來|83c1i1
395|蘇來|44c1i1
396|五來|74c1i1
397|奴來|24c1i1
398|丁來|21c1i1
399|昌來|62c1i1
400|普才|12c1i1
401|側鄰|61c5k1
402|丑人|32c6k1
403|於眞|81c5k1
404|息鄰|44c5k1
405|植鄰|63c5k1
406|如鄰|66c5k1
407|食鄰|65c5k1
408|七人|42c5k1
409|下珍|84c6k1
410|失人|64c5k1
411|必鄰|11c5k1
412|力珍|25c5k1
413|巨巾|73c6k1
414|陟鄰|31c6k1
415|直珍|33c6k1
416|將鄰|41c5k1
417|昌眞|62c5k1
418|匠鄰|43c5k1
419|翼眞|85c5k1
420|女鄰|34c6k1
421|匹賓|12c5k1
422|符眞|13c5k1
423|語巾|74c6k1
424|居銀|71c6k1
425|居筠|71o6k1
426|爲贇|84o6k1
427|去倫|72o6k1
428|武巾|14c6k1
429|符巾|13c6k1
430|於巾|81c6k1
431|於倫|81o6k1
432|府巾|11c6k1
433|彌鄰|14c5k1
434|章倫|61o5k1
435|丑倫|32o5k1
436|直倫|33o5k1
437|相倫|44o5k1
438|常倫|63o5k1
439|如勻|66o5k1
440|食倫|65o5k1
441|力迍|25o5k1
442|陟綸|31o5k1
443|七倫|42o5k1
444|將倫|41o5k1
445|昌脣|62o5k1
446|昨旬|43o5k1
447|羊倫|85o5k1
448|詳遵|45o5k1
449|居勻|71o5k1
450|渠人|73c6k1
451|普巾|12c6k1
452|側詵|51c6l1
453|所臻|54c6l1
454|士臻|53c6l1
455|無分|14o3k1
456|王分|84o3k1
457|於云|81o3k1
458|符分|13o3k1
459|府文|11o3k1
460|渠云|73o3k1
461|許云|82o3k1
462|舉云|71o3k1
463|撫文|12o3k1
464|許斤|82c3k1
465|於斤|81c3k1
466|巨斤|73c3k1
467|舉欣|71c3k1
468|語斤|74c3k1
469|愚袁|74o3m1
470|雨元|84o3m1
471|附袁|13o3m1
472|孚袁|12o3m1
473|況袁|82o3m1
474|於袁|81o3m1
475|語軒|74c3m1
476|丘言|72c3m1
477|虚言|82c3m1
478|居言|71c3m1
479|謁言|81c3m1
480|甫煩|11o3m1
481|巨言|73c3m1
482|武元|14o3m1
483|戸昆|83o1k1
484|古渾|71o1k1
485|烏渾|81o1k1
486|莫奔|14o1k1
487|思渾|44o1k1
488|祖昆|41o1k1
489|徂尊|43o1k1
490|都昆|21o1k1
491|他昆|22o1k1
492|徒渾|23o1k1
493|此尊|42o1k1
494|牛昆|74o1k1
495|蒲奔|13o1k1
496|博昆|11o1k1
497|盧昆|25o1k1
498|苦昆|72o1k1
499|呼昆|82o1k1
500|普魂|12o1k1
501|奴昆|24o1k1
502|戸恩|83c1k1
503|古痕|71c1k1
504|烏痕|81c1k1
505|吐根|22c1k1
506|五根|74c1k1
507|胡安|83c1m1
508|俄寒|74c1m1
509|都寒|21c1m1
510|烏寒|81c1m1
511|那干|24c1m1
512|七安|42c1m1
513|他干|22c1m1
514|蘇干|44c1m1
515|徒干|23c1m1
516|昨干|43c1m1
517|古寒|71c1m1
518|落干|25c1m1
519|苦寒|72c1m1
520|許干|82c1m1
521|乃官|24o1m1
522|胡官|83o1m1
523|五丸|74o1m1
524|多官|21o1m1
525|一丸|81o1m1
526|他端|22o1m1
527|素官|44o1m1
528|度官|23o1m1
529|在丸|43o1m1
530|古丸|71o1m1
531|落官|25o1m1
532|呼官|82o1m1
533|苦官|72o1m1
534|借官|41o1m1
535|薄官|13o1m1
536|母官|14o1m1
537|普官|12o1m1
538|北潘|11o1m1
539|所姦|54c2m1
540|古還|71o2m1
541|烏關|81o2m1
542|數還|54o2m1
543|戸關|83o2m1
544|布還|11c2m1
545|莫還|14c2m1
546|五姦|74c2m1
547|古顔|71c2m1
548|普班|12c2m1
549|奴還|34o2m1
550|五還|74o2m1
551|丘姦|72c2m1
552|可顔|72c2m1
553|阻頑|51o2m1
554|所閒|54c2n1
555|古頑|71o2n1
556|古閑|71c2n1
557|戸閒|83c2n1
558|苦閑|72c2n1
559|士山|53c2n1
560|許閒|82c2n1
561|五閑|74c2n1
562|烏閑|81c2n1
563|方閑|11c2n1
564|力閑|25c2n1
565|女閑|34c2n1
566|充山|62c2n1
567|委鰥|84o2n1
568|墜頑|23o2n1
569|力頑|25o2n1
570|跪頑|73o2n1
571|陟山|31c2n1
572|直閑|33c2n1
573|獲頑|83o2n1
574|昨閑|43c2n1
575|蘇前|44c7n1
576|昨先|43c7n1
577|蒼先|42c7n1
578|則前|41c7n1
579|他前|22c7n1
580|古賢|71c7n1
581|胡田|83c7n1
582|烏前|81c7n1
583|落賢|25c7n1
584|徒年|23c7n1
585|奴顚|24c7n1
586|都年|21c7n1
587|苦堅|72c7n1
588|五堅|74c7n1
589|莫賢|14c7n1
590|部田|13c7n1
591|烏玄|81o7n1
592|古玄|71o7n1
593|火玄|82o7n1
